TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	PC_0	PC_1	Representative
"GO:0000086"	"G2/M transition of mitotic cell cycle"	-300	3.878981123393736	0.01862505772487991	0.9586274123862504	0.60525164	-3.1939496599714734	-6.695614921184828	null
"GO:0000082"	"G1/S transition of mitotic cell cycle"	-300	4.261786086565754	0.0449713796341061	0.9562874902908631	0.79594092	null	null	86
"GO:0044772"	"mitotic cell cycle phase transition"	-300	4.788147151022664	0.15111722533061017	0.9526001890539528	0.91248223	null	null	86
"GO:0044839"	"cell cycle G2/M phase transition"	-300	3.8893577368889316	0.01907548531357464	0.9608217572797744	0.7550168	null	null	86
"GO:0044843"	"cell cycle G1/S phase transition"	-300	4.265643141942135	0.04537258016392709	0.9586366565632547	0.84068986	null	null	86
"GO:0000122"	"negative regulation of transcription by RNA polymerase II"	-300	5.291373291067754	0.48144309713813077	0.8080969235542184	0.66006709	-5.0467256776526	-0.3481384703859488	null
"GO:0000271"	"polysaccharide biosynthetic process"	-300	5.492254581401757	0.7645872943681143	0.937128599602862	0.60329286	4.158441735922305	5.748560828206109	null
"GO:0000280"	"nuclear division"	-300	5.24606259034848	0.43374453844241945	0.9303783993564351	0.49716018	4.416013343793812	-4.742790566178758	null
"GO:0000070"	"mitotic sister chromatid segregation"	-300	4.904168953107237	0.1973955833778141	0.9065532402414852	0.90333913	null	null	280
"GO:0000819"	"sister chromatid segregation"	-300	4.934255986652603	0.2115557468628457	0.9102998221336078	0.9191619	null	null	280
"GO:0007076"	"mitotic chromosome condensation"	-300	4.189770956346874	0.038099282215331855	0.9165990547236238	0.79172015	null	null	280
"GO:0045132"	"meiotic chromosome segregation"	-300	4.49313726567997	0.07661207172520314	0.8941833136652995	0.83556313	null	null	280
"GO:0045143"	"homologous chromosome segregation"	-300	4.331569001202976	0.05281078875974935	0.8964241241387876	0.81162612	null	null	280
"GO:0140014"	"mitotic nuclear division"	-300	4.924672041516249	0.2069382487404888	0.9092650246451797	0.90700898	null	null	280
"GO:0000301"	"retrograde transport, vesicle recycling within Golgi"	-300	3.303412070596742	0.0049473194168109715	0.9571893446665531	0.43559215	6.398366444194988	-2.3951557478840027	null
"GO:0000394"	"RNA splicing, via endonucleolytic cleavage and ligation"	-300	4.333326340403454	0.05302492646585013	0.9294452355970281	0.61004467	2.8373803289290733	5.958362822432878	null
"GO:0000409"	"regulation of transcription by galactose"	-300	3.9745116927373285	0.0232080969060252	0.8772197890842744	0.27596894	-6.714026036084347	1.0149461931032575	null
"GO:0000725"	"recombinational repair"	-300	5.3311862923975815	0.5276648440676299	0.8724967774437987	0.67342888	-0.08843384125461025	6.074857111698486	null
"GO:0000731"	"DNA synthesis involved in DNA repair"	-300	4.816035707382992	0.1611398545173038	0.8685922181329928	0.52272848	0.33500886057314155	5.934080506254573	null
"GO:0019985"	"translesion synthesis"	-300	4.58004637954799	0.09358556162486904	0.8735904487486718	0.7205097	null	null	731
"GO:0070987"	"error-free translesion synthesis"	-300	3.9422065422770953	0.021544222316092754	0.8858162883600376	0.87825059	null	null	731
"GO:0000747"	"conjugation with cellular fusion"	-300	3.8852481077813863	0.018895806548685487	0.9706159515058224	0.62425917	-3.378213983002577	-6.714218329970974	null
"GO:0000753"	"cell morphogenesis involved in conjugation with cellular fusion"	-300	2.387389826338729	0.0005981087653159533	0.8992915687808702	0.66104092	-1.2332266207810234	-6.3995676412351115	null
"GO:0000920"	"septum digestion after cytokinesis"	-300	4.057247580131245	0.028079114381581876	0.9892110581935118	0.01043815	1.1408965296618205	-2.414924617409098	null
"GO:0000959"	"mitochondrial RNA metabolic process"	-300	4.576260704485843	0.09277331515345232	0.9489878141092197	0.33491644	2.452235143591747	6.382025159340245	null
"GO:0001101"	"response to acid chemical"	-300	4.828292459459625	0.16575242993377337	0.930196104287491	0.54196644	-2.1177566074216885	6.787510589177241	null
"GO:0001501"	"skeletal system development"	-300	4.718044733513918	0.12859092318998627	0.8681618550099822	0.56437511	-0.246417060976523	-6.5218877861560856	null
"GO:0001655"	"urogenital system development"	-300	3.8830933585756897	0.018802275136825378	0.8828823698438253	0.47583969	-0.10848187768521728	-6.5640408046835885	null
"GO:0001700"	"embryonic development via the syncytial blastoderm"	-300	2.9822712330395684	0.0023604374729958816	0.8917626670495759	0.50819855	0.046281861621256214	-6.5135205097001405	null
"GO:0001775"	"cell activation"	-300	4.785315595613992	0.150135145506079	0.9120261855432406	0.57216745	0.9736675814447239	-6.2036364686640635	null
"GO:0001816"	"cytokine production"	-300	2.8639173769578603	0.001796787648891547	0.8998925039285808	0.34392083	0.7812351125124577	-4.417217740587126	null
"GO:0002065"	"columnar/cuboidal epithelial cell differentiation"	-300	3.734159513244467	0.0133429943077275	0.8891752498214414	0.66477315	-0.8063883710180564	-6.9797100078727246	null
"GO:0002064"	"epithelial cell development"	-300	4.189799010639827	0.038101743568275545	0.8788397243552207	0.77246648	null	null	2065
"GO:0002119"	"nematode larval development"	-300	3.101403350555331	0.003106227414933058	0.894185308673189	0.64846407	0.05670770521417668	-6.651338680922754	null
"GO:0002165"	"instar larval or pupal development"	-300	3.5403294747908736	0.00853843336165038	0.8882796515865858	0.43980116	-0.0517892002267616	-6.634438693626769	null
"GO:0002164"	"larval development"	-300	3.9519200735202937	0.02203157019894279	0.8821044972451779	0.71987895	null	null	2165
"GO:0002181"	"cytoplasmic translation"	-300	5.185799878745934	0.37754692803215667	0.9350432417160445	0.54185164	4.641078234844091	5.297061379971469	null
"GO:0002376"	"immune system process"	-300	5.567019304402755	0.9082220067499159	1	-0	-6.658390573967881	5.432729942321695	null
"GO:0002440"	"production of molecular mediator of immune response"	-300	3.7649975992848805	0.014325074132258633	0.9353976647325536	0.24165092	5.3479646733778265	3.07655685266422	null
"GO:0002446"	"neutrophil mediated immunity"	-300	2.9618954736678504	0.002252137943473651	0.9799150677107796	0.64808217	-0.0056218350842954365	-3.133592333317704	null
"GO:0002520"	"immune system development"	-300	4.17906322239498	0.03717135215556184	0.8666078477852693	0.62434671	-0.11472874549890137	-6.322487720378287	null
"GO:0002682"	"regulation of immune system process"	-300	5.28814410553558	0.47787659672272825	0.8790221313196729	0.19167773	-6.460997571628146	1.4143610423457726	null
"GO:0002831"	"regulation of response to biotic stimulus"	-300	4.827324031688931	0.1653832269922203	0.8499128134814887	0.62670991	-7.110834999404449	-0.5430423298688155	null
