# WARNING - This exported Revigo data is only useful for the specific purpose of constructing a TreeMap visualization.
# Do not use this table as a general list of non-redundant GO categories, as it sets an extremely permissive 
# threshold to detect redundancies (c=0.10) and fill the 'representative' column, while normally c>=0.4 is recommended.
# To export a reduced-redundancy set of GO terms, go to the Scatterplot or Table tab, and export from there.
TermID	Name	Frequency	Value	Uniqueness	Dispensability	Representative
"GO:0000981"	"DNA-binding transcription factor activity, RNA polymerase II-specific"	2.318396477687505	-300	0.9736463233468725	-0	null
"GO:0001227"	"DNA-binding transcription repressor activity, RNA polymerase II-specific"	0.07547475724283627	-300	0.9792233117820333	0.55510367	"DNA-binding transcription factor activity, RNA polymerase II-specific"
"GO:0001228"	"DNA-binding transcription activator activity, RNA polymerase II-specific"	0.1573820470090874	-300	0.9766764339467401	0.59502457	"DNA-binding transcription factor activity, RNA polymerase II-specific"
"GO:0003674"	"molecular_function"	100	-300	1	-0	null
"GO:0003682"	"chromatin binding"	0.6283254987182627	-300	0.9644713975545968	0.0485524	null
"GO:0003774"	"cytoskeletal motor activity"	0.38116520426412076	-300	1	-0	null
"GO:0003823"	"antigen binding"	0.04757061887183682	-300	0.9715389993053053	0.03477977	null
"GO:0003824"	"catalytic activity"	60.53379149902957	-300	1	-0	null
"GO:0004888"	"transmembrane signaling receptor activity"	1.7274176472677247	-300	0.962569373728987	-0	null
"GO:0001614"	"purinergic nucleotide receptor activity"	0.025166983371215864	-300	0.9575133175505061	0.61205926	"transmembrane signaling receptor activity"
"GO:0001635"	"calcitonin gene-related peptide receptor activity"	0.002143449928060189	-300	0.9616969376796763	0.51025847	"transmembrane signaling receptor activity"
"GO:0001637"	"G protein-coupled chemoattractant receptor activity"	0.04050072649201304	-300	0.9567449636098199	0.63659222	"transmembrane signaling receptor activity"
"GO:0001646"	"cAMP receptor activity"	1.5279174639940246E-05	-300	0.9693445322497863	0.68972817	"transmembrane signaling receptor activity"
"GO:0016502"	"nucleotide receptor activity"	0.025544597258745815	-300	0.970974590806164	0.61279848	"transmembrane signaling receptor activity"
"GO:0005048"	"signal sequence binding"	0.17700705546447348	-300	0.9601435597012343	0.03876593	null
"GO:0030941"	"chloroplast targeting sequence binding"	0.0026040079064926737	-300	0.9690642199745879	0.67135699	"signal sequence binding"
"GO:0005198"	"structural molecule activity"	3.0956240814896883	-300	1	-0	null
"GO:0005215"	"transporter activity"	10.075137960578989	-300	1	-0	null
"GO:0005488"	"binding"	58.52264612691586	-300	1	-0	null
"GO:0008289"	"lipid binding"	1.2344983769478466	-300	0.9619418346568371	0.05241995	null
"GO:0016209"	"antioxidant activity"	0.6988585343346956	-300	0.9781940581903469	0.01365914	null
"GO:0016491"	"oxidoreductase activity"	11.074819433442528	-300	0.9620009571649071	0.09077751	null
"GO:0016705"	"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"	1.5200093997482385	-300	0.9410480701131967	0.05282935	null
"GO:0003842"	"1-pyrroline-5-carboxylate dehydrogenase activity"	0.025885104579293057	-300	0.9578466968989042	0.31445293	"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"
