TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
"GO:0000086"	"G2/M transition of mitotic cell cycle"	-300	3.878981123393736	0.01862505772487991	0.9586274123862504	0.60525164	null
"GO:0000082"	"G1/S transition of mitotic cell cycle"	-300	4.261786086565754	0.0449713796341061	0.9562874902908631	0.79594092	86
"GO:0044772"	"mitotic cell cycle phase transition"	-300	4.788147151022664	0.15111722533061017	0.9526001890539528	0.91248223	86
"GO:0044839"	"cell cycle G2/M phase transition"	-300	3.8893577368889316	0.01907548531357464	0.9608217572797744	0.7550168	86
"GO:0044843"	"cell cycle G1/S phase transition"	-300	4.265643141942135	0.04537258016392709	0.9586366565632547	0.84068986	86
"GO:0000122"	"negative regulation of transcription by RNA polymerase II"	-300	5.291373291067754	0.48144309713813077	0.8080969235542184	0.66006709	null
"GO:0000271"	"polysaccharide biosynthetic process"	-300	5.492254581401757	0.7645872943681143	0.937128599602862	0.60329286	null
"GO:0000280"	"nuclear division"	-300	5.24606259034848	0.43374453844241945	0.9303783993564351	0.49716018	null
"GO:0000070"	"mitotic sister chromatid segregation"	-300	4.904168953107237	0.1973955833778141	0.9065532402414852	0.90333913	280
"GO:0000819"	"sister chromatid segregation"	-300	4.934255986652603	0.2115557468628457	0.9102998221336078	0.9191619	280
"GO:0007076"	"mitotic chromosome condensation"	-300	4.189770956346874	0.038099282215331855	0.9165990547236238	0.79172015	280
"GO:0045132"	"meiotic chromosome segregation"	-300	4.49313726567997	0.07661207172520314	0.8941833136652995	0.83556313	280
"GO:0045143"	"homologous chromosome segregation"	-300	4.331569001202976	0.05281078875974935	0.8964241241387876	0.81162612	280
"GO:0140014"	"mitotic nuclear division"	-300	4.924672041516249	0.2069382487404888	0.9092650246451797	0.90700898	280
"GO:0000301"	"retrograde transport, vesicle recycling within Golgi"	-300	3.303412070596742	0.0049473194168109715	0.9571893446665531	0.43559215	null
"GO:0000394"	"RNA splicing, via endonucleolytic cleavage and ligation"	-300	4.333326340403454	0.05302492646585013	0.9294452355970281	0.61004467	null
"GO:0000409"	"regulation of transcription by galactose"	-300	3.9745116927373285	0.0232080969060252	0.8772197890842744	0.27596894	null
"GO:0000725"	"recombinational repair"	-300	5.3311862923975815	0.5276648440676299	0.8724967774437987	0.67342888	null
"GO:0000731"	"DNA synthesis involved in DNA repair"	-300	4.816035707382992	0.1611398545173038	0.8685922181329928	0.52272848	null
"GO:0019985"	"translesion synthesis"	-300	4.58004637954799	0.09358556162486904	0.8735904487486718	0.7205097	731
"GO:0070987"	"error-free translesion synthesis"	-300	3.9422065422770953	0.021544222316092754	0.8858162883600376	0.87825059	731
"GO:0000747"	"conjugation with cellular fusion"	-300	3.8852481077813863	0.018895806548685487	0.9706159515058224	0.62425917	null
"GO:0000753"	"cell morphogenesis involved in conjugation with cellular fusion"	-300	2.387389826338729	0.0005981087653159533	0.8992915687808702	0.66104092	null
"GO:0000920"	"septum digestion after cytokinesis"	-300	4.057247580131245	0.028079114381581876	0.9892110581935118	0.01043815	null
"GO:0000959"	"mitochondrial RNA metabolic process"	-300	4.576260704485843	0.09277331515345232	0.9489878141092197	0.33491644	null
"GO:0001101"	"response to acid chemical"	-300	4.828292459459625	0.16575242993377337	0.930196104287491	0.54196644	null
"GO:0001501"	"skeletal system development"	-300	4.718044733513918	0.12859092318998627	0.8681618550099822	0.56437511	null
"GO:0001655"	"urogenital system development"	-300	3.8830933585756897	0.018802275136825378	0.8828823698438253	0.47583969	null
"GO:0001700"	"embryonic development via the syncytial blastoderm"	-300	2.9822712330395684	0.0023604374729958816	0.8917626670495759	0.50819855	null
"GO:0001775"	"cell activation"	-300	4.785315595613992	0.150135145506079	0.9120261855432406	0.57216745	null
"GO:0001816"	"cytokine production"	-300	2.8639173769578603	0.001796787648891547	0.8998925039285808	0.34392083	null
"GO:0002065"	"columnar/cuboidal epithelial cell differentiation"	-300	3.734159513244467	0.0133429943077275	0.8891752498214414	0.66477315	null
"GO:0002064"	"epithelial cell development"	-300	4.189799010639827	0.038101743568275545	0.8788397243552207	0.77246648	2065
"GO:0002119"	"nematode larval development"	-300	3.101403350555331	0.003106227414933058	0.894185308673189	0.64846407	null
"GO:0002165"	"instar larval or pupal development"	-300	3.5403294747908736	0.00853843336165038	0.8882796515865858	0.43980116	null
"GO:0002164"	"larval development"	-300	3.9519200735202937	0.02203157019894279	0.8821044972451779	0.71987895	2165
"GO:0002181"	"cytoplasmic translation"	-300	5.185799878745934	0.37754692803215667	0.9350432417160445	0.54185164	null
"GO:0002376"	"immune system process"	-300	5.567019304402755	0.9082220067499159	1	-0	null
"GO:0002440"	"production of molecular mediator of immune response"	-300	3.7649975992848805	0.014325074132258633	0.9353976647325536	0.24165092	null
"GO:0002446"	"neutrophil mediated immunity"	-300	2.9618954736678504	0.002252137943473651	0.9799150677107796	0.64808217	null
"GO:0002520"	"immune system development"	-300	4.17906322239498	0.03717135215556184	0.8666078477852693	0.62434671	null
"GO:0002682"	"regulation of immune system process"	-300	5.28814410553558	0.47787659672272825	0.8790221313196729	0.19167773	null
"GO:0002831"	"regulation of response to biotic stimulus"	-300	4.827324031688931	0.1653832269922203	0.8499128134814887	0.62670991	null
"GO:0002922"	"positive regulation of humoral immune response"	-300	3.0530784434834195	0.0027788674734226804	0.8325136975548679	0.42768263	null
"GO:0002759"	"regulation of antimicrobial humoral response"	-300	2.989894563718773	0.0024022804730385616	0.871771207463646	0.80930808	2922
"GO:0005975"	"carbohydrate metabolic process"	-300	6.322974310459075	5.177832504046095	0.9721479668597423	0.12789186	null
"GO:0005976"	"polysaccharide metabolic process"	-300	5.784921691257273	1.5000124790594245	0.9622964000189085	0.65038434	null
"GO:0006022"	"aminoglycan metabolic process"	-300	5.639162639867929	1.0723474823879122	0.9492083950726273	0.66086986	null
"GO:0006029"	"proteoglycan metabolic process"	-300	4.62155015432547	0.10297070039914777	0.9504301732833796	0.4313818	null
"GO:0006040"	"amino sugar metabolic process"	-300	5.163814115597508	0.3589095635425583	0.9665075150904656	0.48266689	null
"GO:0006082"	"organic acid metabolic process"	-300	6.535454260345129	8.445551746967404	0.9301452702831381	0.6199216	null
"GO:0006091"	"generation of precursor metabolites and energy"	-300	5.994197012048046	2.4286809447125486	0.9595994146045598	0.16070925	null
"GO:0006109"	"regulation of carbohydrate metabolic process"	-300	4.7283131918551256	0.1316676143695951	0.8691742339692224	0.27481377	null
"GO:0006139"	"nucleobase-containing compound metabolic process"	-300	6.873482138619112	18.39314412781983	0.9668128683422208	0.18871283	null
"GO:0006259"	"DNA metabolic process"	-300	6.3549130597720795	5.572970721566783	0.9297504924762978	0.64503033	null
"GO:0006260"	"DNA replication"	-300	5.767837581402916	1.4421509940592292	0.9355509140629409	0.66164169	null
"GO:0006283"	"transcription-coupled nucleotide-excision repair"	-300	4.232767474176343	0.04206452180761169	0.8956782530947532	0.46946113	null
"GO:0006284"	"base-excision repair"	-300	5.116292201435749	0.3217086751516723	0.8785785693392857	0.59876278	null
"GO:0006287"	"base-excision repair, gap-filling"	-300	3.798167059715939	0.015462219192242051	0.902404522155883	0.39972372	null
"GO:0006289"	"nucleotide-excision repair"	-300	5.093498730574553	0.3052594534290117	0.8790919895711916	0.5699986	null
"GO:0006301"	"postreplication repair"	-300	4.66533704224559	0.11389418476323088	0.887969467723386	0.50484093	null
"GO:0006303"	"double-strand break repair via nonhomologous end joining"	-300	4.598495042273587	0.09764679398195267	0.888490912015157	0.66148536	null
"GO:0000724"	"double-strand break repair via homologous recombination"	-300	5.210018718391943	0.3991994498777717	0.8746924279287001	0.78400083	6303
"GO:0006310"	"DNA recombination"	-300	5.870739739053611	1.827734239452524	0.9339658014743176	0.61482406	null
"GO:0006312"	"mitotic recombination"	-300	4.315130317183602	0.05084909046363078	0.9504508494539994	0.56095424	null
"GO:0006325"	"chromatin organization"	-300	5.833474781755866	1.6774440287109929	0.9382421815395096	0.47975937	null
"GO:0006338"	"chromatin remodeling"	-300	5.785161068138012	1.5008394936485032	0.9366994125515962	0.47288067	null
